0,1,2,3
1034276567_49bb87c51c.jpg#0,a white boy bites hard into a treat while he sits outside .,1034276567_49bb87c51c.jpg,white_with_attribute
105342180_4d4a40b47f.jpg#0,"a white girl paddling down a large river , as seen from behind her .",105342180_4d4a40b47f.jpg,white_with_attribute
1093737381_b313cd49ff.jpg#0,a white woman in a blue dress stands with a chalk portrait of two children playing by a stream .,1093737381_b313cd49ff.jpg,white_with_attribute
112178718_87270d9b4d.jpg#0,a white guy stands in the sand with a snowboard behind him .,112178718_87270d9b4d.jpg,white_with_attribute
1149179852_acad4d7300.jpg#0,a white man without a shirt on is guiding a large brown horse pulling a green and yellow wagon .,1149179852_acad4d7300.jpg,white_with_attribute
1163282319_b729b24c46.jpg#0,"a white girl dressed in a red top , a red cap , and light colored shorts , sits on a rock outside .",1163282319_b729b24c46.jpg,white_with_attribute
1164765687_7aca07bbe7.jpg#0,a white man in a red shirt and glasses is bending down towards a small dog on a blanket with several stuffed animals .,1164765687_7aca07bbe7.jpg,white_with_attribute
1167662968_e466f1e80a.jpg#0,a white guy with a nose piercing .,1167662968_e466f1e80a.jpg,white_with_attribute
1245022983_fb329886dd.jpg#0,a white child in all pink is posing nearby a stroller with buildings in the distance .,1245022983_fb329886dd.jpg,white_with_attribute
1286408831_05282582ed.jpg#0,a white boy with his mouth open and tongue sticking out clinging to a bar next to a platform .,1286408831_05282582ed.jpg,white_with_attribute
134894450_dadea45d65.jpg#0,a white boy wearing no shirt and some blue jeans is jumping in the air in the woods .,134894450_dadea45d65.jpg,white_with_attribute
1348947380_14f0fc1237.jpg#0,a white man and a dog stand on a hill overlooking water .,1348947380_14f0fc1237.jpg,white_with_attribute
1357689954_72588dfdc4.jpg#0,a white boy is attempting to rock-climb a prefabricated wall .,1357689954_72588dfdc4.jpg,white_with_attribute
1398606571_f543f7698a.jpg#0,a white girl in an innertube enjoying the lake .,1398606571_f543f7698a.jpg,white_with_attribute
1415591512_a84644750c.jpg#0,a white girl in boots is active in the grass .,1415591512_a84644750c.jpg,white_with_attribute
1449370354_380c4123c9.jpg#0,white kids running across the grass .,1449370354_380c4123c9.jpg,white_with_attribute
