0,1,2,3,4
1055623002_8195a43714.jpg#0,a group of four white children wearing pajamas have a pillow fight .,1055623002_8195a43714.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1057089366_ca83da0877.jpg#0,a white boy descends off the end of a high diving board .,1057089366_ca83da0877.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1082379191_ec1e53f996.jpg#0,a white lady and a man with no shirt sit on a dock .,1082379191_ec1e53f996.jpg,flickr8k/Flicker8k_Dataset,norm_mention
109202756_b97fcdc62c.jpg#0,a white woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain .,109202756_b97fcdc62c.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1118557877_736f339752.jpg#0,a little white boy stands in the surf .,1118557877_736f339752.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1245022983_fb329886dd.jpg#0,a white child in all pink is posing nearby a stroller with buildings in the distance .,1245022983_fb329886dd.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1248734482_3038218f3b.jpg#0,a close-up of a young white girl with a pink shirt laying on grass .,1248734482_3038218f3b.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1285067106_2adc307240.jpg#0,a white boy in white plays baseball .,1285067106_2adc307240.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1303335399_b3facd47ab.jpg#0,a baby white boy wearing a shoulder life saver is at the very edge of an orange pool slide .,1303335399_b3facd47ab.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1307635496_94442dc21a.jpg#0,a white boy wearing black sandals runs along the grass .,1307635496_94442dc21a.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1342780478_bacc32344d.jpg#0,a white man in a dress shirt and tie is standing in front of a sign selling donuts .,1342780478_bacc32344d.jpg,flickr8k/Flicker8k_Dataset,norm_mention
138718600_f430ebca17.jpg#0,two bicycles are standing behind two white people sitting on the grass near a body of water .,138718600_f430ebca17.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1387785218_cee67735f5.jpg#0,a white child pushes a doll in a baby carriage .,1387785218_cee67735f5.jpg,flickr8k/Flicker8k_Dataset,norm_mention
140526326_da07305c1c.jpg#0,a white man rock climbs with a city and body of water in the background .,140526326_da07305c1c.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1446053356_a924b4893f.jpg#0,white children participate in a sport on a green field while in uniforms .,1446053356_a924b4893f.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1463732807_0cdf4f22c7.jpg#0,a white boy on a playground swing strikes a medatative pose .,1463732807_0cdf4f22c7.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1469358746_2a879abaf3.jpg#0,a white man and his dog in the mountains .,1469358746_2a879abaf3.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1472249944_d887c3aeda.jpg#0,a white girl squats on a rock while another stands by her .,1472249944_d887c3aeda.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1499495021_d295ce577c.jpg#0,"a dark haired white woman wearing a brown jacket and fatigue bottoms and a balding man wearing a green sweater and blue jeans with a fishing pole , stand at the foot of the surf .",1499495021_d295ce577c.jpg,flickr8k/Flicker8k_Dataset,norm_mention
150582765_bad8dec237.jpg#0,a white girl wearing a pink hoodie looks through her camera .,150582765_bad8dec237.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1509786421_f03158adfc.jpg#0,a white boy points .,1509786421_f03158adfc.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1550772959_9ca9fa625f.jpg#0,a white girl sits with excavating tools examining a rock .,1550772959_9ca9fa625f.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1563731247_7f21d8bec0.jpg#0,a white child plays on the ground in a pile of leaves .,1563731247_7f21d8bec0.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1580671272_3e99d94305.jpg#0,a white boy holds a red bucket up to a pony .,1580671272_3e99d94305.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1606988704_fe330878a3.jpg#0,three white children playing in hay,1606988704_fe330878a3.jpg,flickr8k/Flicker8k_Dataset,norm_mention
170100272_d820db2199.jpg#0,a white child is on a slide .,170100272_d820db2199.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1732436777_950bcdc9b8.jpg#0,a couple on the stairs are photographing a white man and wo embracing in front of a building .,1732436777_950bcdc9b8.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1858963639_4588cd4be9.jpg#0,a white girl with a red helmet carying a lot of rope .,1858963639_4588cd4be9.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1860543210_47e94cf652.jpg#0,a white guy in gray is walking across the street at night .,1860543210_47e94cf652.jpg,flickr8k/Flicker8k_Dataset,norm_mention
1884727806_d84f209868.jpg#0,a white man and a wo wear mickey mouse ears at an event .,1884727806_d84f209868.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2055646179_169807fed4.jpg#0,"a white boy holding a hose next to a man while another  watches on , held by a woman .",2055646179_169807fed4.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2138487671_5b89104043.jpg#0,a young white boy jumping into a lake .,2138487671_5b89104043.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2144846312_d4c738dc6c.jpg#1,a little white boy with baby food on his face .,2144846312_d4c738dc6c.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2159447283_fab8c272b0.jpg#0,a white girl riding a toy horse in a spider-man costume,2159447283_fab8c272b0.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2171576939_d1e72daab2.jpg#1,a small white child wearing winter clothes smiles while standing in the snow .,2171576939_d1e72daab2.jpg,flickr8k/Flicker8k_Dataset,norm_mention
217583047_5e93e1e119.jpg#0,a white man in a white boat is rowing through fog .,217583047_5e93e1e119.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2196316998_3b2d63f01f.jpg#0,a white man grabs the end of a set of bagpipes while another  plays .,2196316998_3b2d63f01f.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2204550058_2707d92338.jpg#0,a white lady stands in the middle of a crowd wearing white gloves .,2204550058_2707d92338.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2208055895_37cd8e1edf.jpg#0,a white boy stands inside a half-completed igloo .,2208055895_37cd8e1edf.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2222559267_6fd31e3941.jpg#0,a white man and a little girl walking down the street .,2222559267_6fd31e3941.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2249141510_f534708374.jpg#0,a white boy in red is jumping in a playground sand pit .,2249141510_f534708374.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2271468944_3264d29208.jpg#0,a white boy at the beach dumps a bucket of water on another  's head .,2271468944_3264d29208.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2272823323_3b7291cd47.jpg#0,a white man wearing an orange coat speaks to another as they walk in the snow .,2272823323_3b7291cd47.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2282260240_55387258de.jpg#0,a little white girl dances in a room with balloons on the floor .,2282260240_55387258de.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2294688426_96c8614f1d.jpg#0,a white man dressed in a black poncho stands in the middle of a parking lot .,2294688426_96c8614f1d.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2303356248_65dd6aba6f.jpg#0,white kids wearing jackets and hats swinging on tire swing in snow,2303356248_65dd6aba6f.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2315867011_fc5fc9fa6d.jpg#0,the two white girls are playing on a yellow sit and bounce .,2315867011_fc5fc9fa6d.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2339140905_9f625f140a.jpg#0,a white woman in a yellow jacket skis in the snow .,2339140905_9f625f140a.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2354829523_9542fc74ba.jpg#0,"a group of white women in matching uniforms , one of which is speaking .",2354829523_9542fc74ba.jpg,flickr8k/Flicker8k_Dataset,norm_mention
236476706_175081ce18.jpg#0,many white people are walking around outside .,236476706_175081ce18.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2370221025_be4d9a4431.jpg#0,a white man wearing a green jacket is holding onto a baby in an orange bonnet .,2370221025_be4d9a4431.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2393264648_a280744f97.jpg#0,a white child on the beach while a woman takes pictures nearby .,2393264648_a280744f97.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2402793046_3385554e81.jpg#0,a white boy climbs a rigging on a boat .,2402793046_3385554e81.jpg,flickr8k/Flicker8k_Dataset,norm_mention
241374292_11e3198daa.jpg#0,a crowd of white people standing in front of statues .,241374292_11e3198daa.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2418191216_82711d5c5c.jpg#0,an older white woman in hiking clothing and a summer hat smiles .,2418191216_82711d5c5c.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2420730259_86e7f8a815.jpg#0,a white man holding and kissing a crying little boy on the cheek .,2420730259_86e7f8a815.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2424111022_4e332b8aee.jpg#0,a white boy in the woods .,2424111022_4e332b8aee.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2439031566_2e0c0d3550.jpg#2,a white man and wo sitting on a motorcycle .,2439031566_2e0c0d3550.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2448210587_9fe7ea5f42.jpg#0,an elderly white woman sits on a tree stump with a white dog .,2448210587_9fe7ea5f42.jpg,flickr8k/Flicker8k_Dataset,norm_mention
244910177_7c4ec3f65b.jpg#0,three white woman walk down a city street and one has a pink purse .,244910177_7c4ec3f65b.jpg,flickr8k/Flicker8k_Dataset,norm_mention
245442617_407eba1e98.jpg#0,a white girl in black tank top catches a fish .,245442617_407eba1e98.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2458033289_f0616879df.jpg#0,a white man in a hat standing in front of a tire shop .,2458033289_f0616879df.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2475162978_2c51048dca.jpg#0,a white woman carrying a white ball is running behind a small boy .,2475162978_2c51048dca.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2485467050_1d5e2696d4.jpg#0,a group of four white children dancing in a backyard .,2485467050_1d5e2696d4.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2498897831_0bbb5d5b51.jpg#0,three white children are pulling faces on a purple bench .,2498897831_0bbb5d5b51.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2531531628_b4a5041680.jpg#0,a white girl sticks out her tongue on a bench .,2531531628_b4a5041680.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2538477523_1da77eb11c.jpg#0,a white girl in a dress runs followed by a man in jeans .,2538477523_1da77eb11c.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2549968784_39bfbe44f9.jpg#0,a white child wearing swim goggles .,2549968784_39bfbe44f9.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2552723989_7bc93e0f7b.jpg#0,a white boy falls off his red bike .,2552723989_7bc93e0f7b.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2562166462_b43b141d40.jpg#0,a white man in a hooded jacket sits alone on a park bench .,2562166462_b43b141d40.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2562377955_8d670ccec6.jpg#0,a white boy in an orange jersey is about to pitch a baseball .,2562377955_8d670ccec6.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2593406865_ab98490c1f.jpg#1,a teenage white boy is performing a trick with his skateboard .,2593406865_ab98490c1f.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2597958208_e03aa149c9.jpg#0,a little white boy and a little girl playing together outside .,2597958208_e03aa149c9.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2602415701_7674eb19e4.jpg#0,a group of white kids jumping into a swimming pool .,2602415701_7674eb19e4.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2609900643_c07bcb0bae.jpg#0,a white girl rides a swing while another  watches .,2609900643_c07bcb0bae.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2615811117_42b1838205.jpg#3,a young white kid wearing a life jacket,2615811117_42b1838205.jpg,flickr8k/Flicker8k_Dataset,norm_mention
263216826_acf868049c.jpg#2,a white man and a wo in an orange shirt are sitting on a rock and looking at the view of the trees and the hills .,263216826_acf868049c.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2633722629_5eeb649c09.jpg#0,a white child flips on a trampoline .,2633722629_5eeb649c09.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2642350864_099c0f2152.jpg#0,a white girl smiles while riding on the back of a cart in a grocery store .,2642350864_099c0f2152.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2642688531_8fb68b2147.jpg#1,a young white boy plays in a yellow tunnel on a playground .,2642688531_8fb68b2147.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2647049174_0fb47cee2e.jpg#0,a white child puts dirt into his mouth .,2647049174_0fb47cee2e.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2659606300_bea3feaf8b.jpg#0,a baby white girl wearing a pink jacket climbs wooden steps .,2659606300_bea3feaf8b.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2675190069_d5c3b2c876.jpg#0,a white man and wo relaxing in shallow water near a waterfall .,2675190069_d5c3b2c876.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2676015068_690b0fb2cd.jpg#0,a white man in sunglasses sits on rocks .,2676015068_690b0fb2cd.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2696951725_e0ae54f6da.jpg#0,"a white man and wo , on a park trail , pose in front of a lake and distant mountain .",2696951725_e0ae54f6da.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2707873672_15e6b5d54b.jpg#0,two white boys wearing brown shirts tug at a rope on a wooden platform .,2707873672_15e6b5d54b.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2710280476_dcccb8745a.jpg#0,a black and white dog leaping through the air as two white people watch in the background .,2710280476_dcccb8745a.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2737759676_4bc9be2daf.jpg#0,a white man in sunglasses and a hat is seen among a crowd .,2737759676_4bc9be2daf.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2751602672_ca5e1f6447.jpg#0,a bald white man demonstarting how high his brown and black dog can jump .,2751602672_ca5e1f6447.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2759211664_d21393b668.jpg#0,a white boy in a red shirt and white shorts is standing in the sand .,2759211664_d21393b668.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2762702644_2aa3bf9680.jpg#0,a white woman wearing a red and black outfit standing in front of a building playing a violin .,2762702644_2aa3bf9680.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2765747519_2b851e01d6.jpg#1,a white child is mostly hidden in a green shopping bag .,2765747519_2b851e01d6.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2769731772_18c44c18e2.jpg#0,a white girl and her child walking next to a mountain .,2769731772_18c44c18e2.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2797149878_bb8e27ecf9.jpg#0,a blond white boy in a dark hoodie is holding a fishing rod .,2797149878_bb8e27ecf9.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2825668136_107223182c.jpg#1,a white guy is doing a trick on a bike .,2825668136_107223182c.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2830869109_c4e403eae6.jpg#0,a white boy and girl playing with buckets in a lawn sprinkler,2830869109_c4e403eae6.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2831215155_07ba8f1805.jpg#0,"an suv is parked in a grassy field with mountains in the background , and a white woman is looking through a telescope off into the distance .",2831215155_07ba8f1805.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2831313661_1a328acb70.jpg#0,a white man gathers kite string on the beach .,2831313661_1a328acb70.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2832033116_1677ea1e2e.jpg#0,a white person in a striped fleece clips a carabiner onto a metal line .,2832033116_1677ea1e2e.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2837640996_0183db8d93.jpg#0,a white man talks on the phone with his feet up .,2837640996_0183db8d93.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2841449931_84a05850ec.jpg#0,a white man in a pink shirt and sunglasses is sitting in the sun .,2841449931_84a05850ec.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2847859796_4d9cb0d31f.jpg#0,a white child in colorful goggles plays in a pool .,2847859796_4d9cb0d31f.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2851304910_b5721199bc.jpg#1,a white woman in a red jacket is videotaping a natural landscape .,2851304910_b5721199bc.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2866686547_0a67eb899d.jpg#0,two white girls are playing soccer with orange and white uniforms .,2866686547_0a67eb899d.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2884252132_5d8e776893.jpg#0,a white girl swinging,2884252132_5d8e776893.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2899374885_f3b2b1a290.jpg#3,a small white boy is playing at a water fountain,2899374885_f3b2b1a290.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2913972180_547783dd3d.jpg#0,a dog and a white man wade into the lake .,2913972180_547783dd3d.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2921670682_6a77a6c3e9.jpg#0,a white man on a bicycle in the city .,2921670682_6a77a6c3e9.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2934379210_4e399e3cac.jpg#0,a white boy in a red shirt and jean shorts jumping off a swing .,2934379210_4e399e3cac.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2934801096_230ae78d7e.jpg#0,"a white man and a boy standing in front of a sign that says "" hell "" .",2934801096_230ae78d7e.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2940594396_20c40947b0.jpg#1,a white man riding on a three-wheeled wheelchair .,2940594396_20c40947b0.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2947274789_a1a35b33c3.jpg#0,a white man in a green shirt and cap puts his hands on a table as he stands next to  wearing headphones around his neck .,2947274789_a1a35b33c3.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2949014128_0d96196261.jpg#0,a white boy holding a ball falls down in front of another  who has his arms reaching out while an older man in a green shirt smiles and watches .,2949014128_0d96196261.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2963573792_dd51b5fbfb.jpg#0,a little white girl slides down a green slide with her arms up at a playground .,2963573792_dd51b5fbfb.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2978394277_4572967b97.jpg#0,a white boy wearing orange jumps from haystacks .,2978394277_4572967b97.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2984704498_29b53df5df.jpg#0,"a middle aged white woman in stylish clothes , holding a camera .",2984704498_29b53df5df.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2991994415_504d1c0a03.jpg#0,a white girl dressed in a red dress and another  dressed as a pirate are playing around .,2991994415_504d1c0a03.jpg,flickr8k/Flicker8k_Dataset,norm_mention
2998277360_9b4c0192f1.jpg#0,"a white man in a yellow slicker holds a sign saying "" down and out "" .",2998277360_9b4c0192f1.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3003011417_79b49ff384.jpg#0,a group of white children are sitting on a raft wearing blue helmets and carrying paddles .,3003011417_79b49ff384.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3015863181_92ff43f4d8.jpg#0,a white man in a flower patterned shirt is bowling .,3015863181_92ff43f4d8.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3019917636_4e0bb0acc4.jpg#0,a white woman in a race turning a corner .,3019917636_4e0bb0acc4.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3028404926_2bd27e3e83.jpg#0,a white boy turns a handcrank in a courtyard .,3028404926_2bd27e3e83.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3033668641_5905f73990.jpg#0,a white man in a white helmet clings to a sheer rock face,3033668641_5905f73990.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3041170372_c4376cd497.jpg#1,a white man jumping a dirt ramp on a bmx bike .,3041170372_c4376cd497.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3043266735_904dda6ded.jpg#0,an elderly white person with a white hat is reading a paperback book .,3043266735_904dda6ded.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3047144646_2252ff8e04.jpg#0,a group of white people display ribbons won by their dogs .,3047144646_2252ff8e04.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3053813297_7ce5f87710.jpg#1,an elderly white man and wo are sitting on lawn chairs holding onto the leash of a brown dog .,3053813297_7ce5f87710.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3072172967_630e9c69d0.jpg#2,"four white men playing basketball , two from each team .",3072172967_630e9c69d0.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3077166963_fe172c709d.jpg#0,a white girl is standing on logs and taking a picture .,3077166963_fe172c709d.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3080891382_edf83dde18.jpg#0,a white child covers their mouth as they whisper to a friend .,3080891382_edf83dde18.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3091580843_178042c50b.jpg#0,a white man in a black jacket walks thorugh an asian market .,3091580843_178042c50b.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3100251515_c68027cc22.jpg#0,a crowd of white people wearing jackets and holding signs .,3100251515_c68027cc22.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3103340819_46de7954a9.jpg#1,two white people wearing hoodies huddle on a doorstep in the rain .,3103340819_46de7954a9.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3105623068_392b767a7b.jpg#0,a white girl in white is rock climbing .,3105623068_392b767a7b.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3105929913_94a6882e25.jpg#0,four bald white people are praying or meditating .,3105929913_94a6882e25.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3106791484_13e18c33d8.jpg#0,a blond white child is jumping facefirst onto a bed .,3106791484_13e18c33d8.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3107558821_f3b205d4ed.jpg#0,two white girls take in the view .,3107558821_f3b205d4ed.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3116379964_86986750af.jpg#0,a dog and two white people .,3116379964_86986750af.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3132006797_04822b5866.jpg#0,the two white children and the baby with the pink shirt are surrounded by toys .,3132006797_04822b5866.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3144705706_391d7b77c7.jpg#0,a white child playing in a pile of snow on a street while  adult watches .,3144705706_391d7b77c7.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3162289423_4ca8915d0c.jpg#1,a white girl wearing a green jumpsuit and goggles with a beautiful sunset in the background,3162289423_4ca8915d0c.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3170110692_d1e0e66cee.jpg#1,a white man and a wo are dressed as groucho marx with fake cigars .,3170110692_d1e0e66cee.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3182161610_4d349b257f.jpg#4,two young white children are playing with toys .,3182161610_4d349b257f.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3185371756_ff4e9fa8a6.jpg#0,a white girl in a purple sweatshirt bends over backwards .,3185371756_ff4e9fa8a6.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3188044631_ca3a9cc737.jpg#0,a white man and a wo in a apron stand near a fireplace and christmas tree .,3188044631_ca3a9cc737.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3191027142_33e86636ca.jpg#0,"a white man holding up a sign , surrounded by a lot of people .",3191027142_33e86636ca.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3192069971_83c5a90b4c.jpg#0,a white boy wearing a blue helmet rides a bike with his feet on the handlebars .,3192069971_83c5a90b4c.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3198237818_cb5eb302f0.jpg#1,a white man and wo in black and white swimsuits and sunglasses are next to the ocean .,3198237818_cb5eb302f0.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3205336477_037d4b6bd9.jpg#0,two white men are wrestling in a competition .,3205336477_037d4b6bd9.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3212085754_35fdc9ccaa.jpg#2,a white lady holds a bride 's shoe in her hand .,3212085754_35fdc9ccaa.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3225880532_c8d5d1d798.jpg#0,a white man in a red coat and hat talks to another  in red .,3225880532_c8d5d1d798.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3255732353_fbc487aefc.jpg#0,a white child in pink throwing a snowball at a  in blue .,3255732353_fbc487aefc.jpg,flickr8k/Flicker8k_Dataset,norm_mention
3256603992_67312b5a36.jpg#0,a white man hiking in the wilderness giving the camera a thumbs up .,3256603992_67312b5a36.jpg,flickr8k/Flicker8k_Dataset,norm_mention
